source_index,value,target_qps,bud,sleep_us,concurrency,body_bytes,cost_reported,tps,tp99_us,tp999_us,client_cpu_pct,server_cpu_pct,total_cpu_pct,used_cores,qps_per_used_core,attainment_pct,target_sustained,is_pareto,client_rss_kb,server_rss_kb,retry,status,partial
77,385000 × 0x0 × 10x10x10x10,385000,0,10,128,1024,0,383800.0,340.0,1040.0,623.1,522.6,1145.7,11.457,33499.17081260365,99.68831168831169,True,True,162816,64512,1,OK,False
78,385000 × 0x0 × 100x100x100x100,385000,0,100,128,1024,0,384000.0,350.0,1040.0,629.1,534.5,1163.6,11.636,33001.031282227574,99.74025974025975,True,False,166912,66560,1,OK,False
79,385000 × 0x0 × 1000x1000x1000x1000,385000,0,1000,128,1024,0,378600.0,1330.0,1980.0,554.9,456.8,1011.7,10.117,37422.1607195809,98.33766233766234,False,False,169984,72704,1,OK,False
80,385000 × 0x0 × 10000x10000x10000x10000,385000,0,10000,128,1024,0,236100.0,10630.0,11310.0,279.3,230.6,509.9,5.099,46303.19670523632,61.324675324675326,False,False,118784,68608,1,OK,False
81,385000 × 1x1 × 1x1x1x1,385000,1,1,128,1024,0,263700.0,1430.0,1970.0,318.3,258.7,577.0,5.77,45701.90641247834,68.49350649350649,False,False,119808,65536,1,OK,False
82,385000 × 1x1 × 10x10x10x10,385000,1,10,128,1024,0,117700.0,1570.0,1940.0,130.4,106.5,236.9,2.369,49683.41072182355,30.571428571428573,False,False,105472,60416,1,OK,False
83,385000 × 1x1 × 100x100x100x100,385000,1,100,128,1024,0,103000.0,2290.0,2380.0,104.8,91.0,195.8,1.9580000000000002,52604.6986721144,26.753246753246753,False,False,96256,65536,1,OK,False
84,385000 × 1x1 × 1000x1000x1000x1000,385000,1,1000,128,1024,0,101400.0,2340.0,2400.0,103.5,89.8,193.3,1.933,52457.32022762545,26.337662337662337,False,False,97280,68608,1,OK,False
85,385000 × 1x1 × 10000x10000x10000x10000,385000,1,10000,128,1024,0,12300.0,10730.0,20490.0,14.5,12.1,26.6,0.266,46240.6015037594,3.1948051948051948,False,False,93184,61440,1,OK,False
86,385000 × 16x16 × 1x1x1x1,385000,16,1,128,1024,0,327000.0,1320.0,1780.0,447.4,379.5,826.9,8.269,39545.289635989844,84.93506493506493,False,False,155648,72704,1,OK,False
87,385000 × 16x16 × 10x10x10x10,385000,16,10,128,1024,0,119100.0,1390.0,1920.0,129.2,111.2,240.39999999999998,2.404,49542.429284525795,30.935064935064936,False,False,104448,66560,1,OK,False
88,385000 × 16x16 × 100x100x100x100,385000,16,100,128,1024,0,112500.0,1710.0,2120.0,119.0,101.4,220.4,2.204,51043.55716878403,29.22077922077922,False,False,106496,64512,1,OK,False
89,385000 × 16x16 × 1000x1000x1000x1000,385000,16,1000,128,1024,0,106500.0,1660.0,2360.0,111.4,97.0,208.4,2.084,51103.64683301343,27.662337662337663,False,False,104448,68608,1,OK,False
90,385000 × 16x16 × 10000x10000x10000x10000,385000,16,10000,128,1024,0,12500.0,10460.0,11440.0,14.9,12.8,27.700000000000003,0.277,45126.35379061371,3.2467532467532467,False,False,90112,66560,1,OK,False
91,385000 × 256x256 × 1x1x1x1,385000,256,1,128,1024,0,384300.0,340.0,960.0,628.8,526.9,1155.6999999999998,11.556999999999999,33252.57419745609,99.81818181818181,True,False,166912,70656,1,OK,False
92,385000 × 256x256 × 10x10x10x10,385000,256,10,128,1024,0,384200.0,330.0,930.0,624.3,524.9,1149.1999999999998,11.491999999999997,33431.9526627219,99.79220779220779,True,True,157696,67584,1,OK,False
93,385000 × 256x256 × 100x100x100x100,385000,256,100,128,1024,0,384000.0,350.0,1010.0,628.5,529.2,1157.7,11.577,33169.214822492875,99.74025974025975,True,False,165888,73728,1,OK,False
