candidate_id,transport,policy,target_qps,sleep_us,source_indices,repeat_count,repeat_gate_consistent,tps,tps_min,tps_max,tp99_us,tp99_us_min,tp99_us_max,tp999_us,total_cpu_pct,total_cpu_pct_min,total_cpu_pct_max,used_cores,used_cores_min,used_cores_max,attainment_pct,attainment_pct_min,attainment_pct_max,target_sustained,is_pareto,partial
gqm:731500:B0/256 duplicate:1000,GQM,B0/256 duplicate,731500,1000,104;119,2,True,705750.0,704700.0,706800.0,420.0,410.0,430.0,1285.0,1474.2,1473.0,1475.4,14.742,14.73,14.754000000000001,96.47983595352017,96.3362952836637,96.62337662337663,False,False,False
gqm:731500:B0/256 duplicate:10000,GQM,B0/256 duplicate,731500,10000,105;120,2,True,325300.0,296800.0,353800.0,10570.0,10560.0,10580.0,11305.0,642.9000000000001,593.7,692.1,6.429,5.937,6.921,44.470266575529735,40.57416267942584,48.36637047163363,False,False,False
gqm:731500:B1:1,GQM,B1,731500,1,106,1,True,686800.0,686800.0,686800.0,860.0,860.0,860.0,1480.0,1329.5,1329.5,1329.5,13.295,13.295,13.295,93.88926862611073,93.88926862611073,93.88926862611073,False,False,False
gqm:731500:B1:10,GQM,B1,731500,10,107,1,True,486000.0,486000.0,486000.0,1330.0,1330.0,1330.0,1620.0,948.6,948.6,948.6,9.486,9.486,9.486,66.43882433356117,66.43882433356117,66.43882433356117,False,False,False
gqm:731500:B1:100,GQM,B1,731500,100,108,1,True,103100.0,103100.0,103100.0,2290.0,2290.0,2290.0,2380.0,197.39999999999998,197.39999999999998,197.39999999999998,1.9739999999999998,1.9739999999999998,1.9739999999999998,14.094326725905674,14.094326725905674,14.094326725905674,False,False,False
gqm:731500:B1:1000,GQM,B1,731500,1000,109,1,True,101000.0,101000.0,101000.0,2340.0,2340.0,2340.0,2410.0,192.9,192.9,192.9,1.929,1.929,1.929,13.807245386192754,13.807245386192754,13.807245386192754,False,False,False
gqm:731500:B1:10000,GQM,B1,731500,10000,110,1,True,12400.0,12400.0,12400.0,10460.0,10460.0,10460.0,20480.0,26.9,26.9,26.9,0.26899999999999996,0.26899999999999996,0.26899999999999996,1.695146958304853,1.695146958304853,1.695146958304853,False,False,False
gqm:731500:B16:1,GQM,B16,731500,1,111,1,True,687200.0,687200.0,687200.0,790.0,790.0,790.0,1390.0,1403.6,1403.6,1403.6,14.036,14.036,14.036,93.94395078605605,93.94395078605605,93.94395078605605,False,False,False
gqm:731500:B16:10,GQM,B16,731500,10,112,1,True,508500.0,508500.0,508500.0,1300.0,1300.0,1300.0,1560.0,1041.2,1041.2,1041.2,10.412,10.412,10.412,69.51469583048531,69.51469583048531,69.51469583048531,False,False,False
gqm:731500:B16:100,GQM,B16,731500,100,113,1,True,151800.0,151800.0,151800.0,1380.0,1380.0,1380.0,2080.0,297.1,297.1,297.1,2.971,2.971,2.971,20.75187969924812,20.75187969924812,20.75187969924812,False,False,False
gqm:731500:B16:1000,GQM,B16,731500,1000,114,1,True,120300.0,120300.0,120300.0,2120.0,2120.0,2120.0,2420.0,233.8,233.8,233.8,2.338,2.338,2.338,16.44565960355434,16.44565960355434,16.44565960355434,False,False,False
gqm:731500:B16:10000,GQM,B16,731500,10000,115,1,True,12700.0,12700.0,12700.0,10460.0,10460.0,10460.0,20690.0,27.8,27.8,27.8,0.278,0.278,0.278,1.7361585782638413,1.7361585782638413,1.7361585782638413,False,False,False
gqm:731500:B1024:1,GQM,B1024,731500,1,121,1,True,705200.0,705200.0,705200.0,420.0,420.0,420.0,1130.0,1450.1,1450.1,1450.1,14.501,14.501,14.501,96.40464798359535,96.40464798359535,96.40464798359535,False,False,False
gqm:731500:B1024:10,GQM,B1024,731500,10,122,1,True,705400.0,705400.0,705400.0,420.0,420.0,420.0,1130.0,1479.1,1479.1,1479.1,14.790999999999999,14.790999999999999,14.790999999999999,96.43198906356801,96.43198906356801,96.43198906356801,False,False,False
gqm:731500:B1024:100,GQM,B1024,731500,100,123,1,True,705900.0,705900.0,705900.0,420.0,420.0,420.0,1150.0,1476.6,1476.6,1476.6,14.765999999999998,14.765999999999998,14.765999999999998,96.50034176349966,96.50034176349966,96.50034176349966,False,False,False
gqm:731500:B1024:1000,GQM,B1024,731500,1000,124,1,True,705500.0,705500.0,705500.0,420.0,420.0,420.0,1130.0,1480.1999999999998,1480.1999999999998,1480.1999999999998,14.801999999999998,14.801999999999998,14.801999999999998,96.44565960355435,96.44565960355435,96.44565960355435,False,False,False
gqm:731500:B1024:10000,GQM,B1024,731500,10000,125,1,True,704900.0,704900.0,704900.0,,,,,,,,,,,96.36363636363636,96.36363636363636,96.36363636363636,False,False,True
socket:731500,Socket,Socket,731500,,5,1,True,381600.0,381600.0,381600.0,620.0,620.0,620.0,1210.0,956.3,956.3,956.3,9.562999999999999,9.562999999999999,9.562999999999999,52.166780587833216,52.166780587833216,52.166780587833216,False,False,False
