source_index,value,target_qps,idle_enabled,sleep_us,bud,reported_sustain_pct,achieved_qps,p50_us,p99_us,p999_us,max_us,send_lag_p99_us,scheduled,dispatched,completed,shed,client_cpu_user_pct,client_cpu_sys_pct,client_cpu_pct,server_cpu_user_pct,server_cpu_sys_pct,server_cpu_pct,client_rss_kb,server_rss_kb,retry,status,total_cpu_pct,used_cores,quota_occupancy_pct,qps_per_used_core,target_sustained
54,80000 × Truex1xTruex1 × 1x1,80000,True,1,1,100,80100,103.2,1244,5980,10300,190.2,1201879,1201879,1201879,0,143.9,193.4,337.4,77.8,124.7,202.4,258216,19088,1,✅,539.8,5.398,44.9833333333,14838.829196,True
55,80000 × Truex1xTruex1 × 16x16,80000,True,1,16,100,80100,97.2,392.8,1837,3800,193,1201878,1201878,1201878,0,267.3,111.5,378.8,201.3,105.3,306.7,287316,19088,1,✅,685.5,6.855,57.125,11684.9015317,True
56,80000 × Truex1xTruex1 × 256x256,80000,True,1,256,100,80100,176.3,1473,4271,10200,1110,1201868,1201868,1201868,0,319.5,78,397.6,274,89.6,363.6,260576,19080,1,✅,761.2,7.612,63.4333333333,10522.8586442,True
57,80000 × Truex10xTruex10 × 0x0,80000,True,10,0,100,80100,111.6,338.3,496.5,2000,182.3,1201877,1201877,1201877,0,194.2,61.9,256.1,36.1,38,74.2,251680,19088,1,✅,330.3,3.303,27.525,24250.6811989,True
58,80000 × Truex10xTruex10 × 1x1,80000,True,10,1,100,80100,117.3,361.6,584.6,2500,182.2,1201880,1201880,1201880,0,195.5,60.1,255.6,38.3,36.7,75,237324,19084,1,✅,330.6,3.306,27.55,24228.6751361,True
59,80000 × Truex10xTruex10 × 16x16,80000,True,10,16,100,80100,109,329.7,487.6,2400,188.3,1201869,1201869,1201869,0,281.9,80.2,362.1,120.4,47.9,168.3,269060,19084,1,✅,530.4,5.304,44.2,15101.8099548,True
60,80000 × Truex10xTruex10 × 256x256,80000,True,10,256,99.7,79900,184.7,1834,5300,43000,2545,1201853,1198726,1198726,3127,317.6,76.8,394.4,255.9,81.8,337.7,227552,19080,1,✅,732.1,7.321,61.0083333333,10913.8095889,True
61,80000 × Truex100xTruex100 × 0x0,80000,True,100,0,100,80100,197.2,430.6,557.9,1700,179.4,1201880,1201880,1201880,0,176.3,22.6,198.9,31.3,4.6,36,262672,19084,1,✅,234.9,2.349,19.575,34099.6168582,True
62,80000 × Truex100xTruex100 × 1x1,80000,True,100,1,100,80100,192.9,426.6,561.2,2200,178.1,1201880,1201880,1201880,0,175.5,24.5,200.1,31.7,4.5,36.2,234836,19088,1,✅,236.3,2.363,19.6916666667,33897.5878121,True
63,80000 × Truex100xTruex100 × 16x16,80000,True,100,16,100,80100,183.5,400.9,515.4,1600,180.4,1201877,1201877,1201877,0,204.4,34.1,238.6,44.3,9.6,53.9,248960,19080,1,✅,292.5,2.925,24.375,27384.6153846,True
64,80000 × Truex100xTruex100 × 256x256,80000,True,100,256,100,80100,272.3,2114,4056,5600,2700,1201841,1201841,1201841,0,323.5,74.1,397.6,156.3,46.4,202.7,275800,19084,1,✅,600.3,6.003,50.025,13343.3283358,True
65,152000 × Falsex0xFalsex0 × 0x0,152000,False,0,0,82.3,125300,3524,16379,21495,60800,13776,2282964,1879514,1879514,403450,303,92.7,395.7,284.8,84.2,369,227596,19084,1,✅,764.7,7.647,63.725,16385.5106578,False
66,152000 × Falsex0xFalsex0 × 1x1,152000,False,0,1,81.9,124700,3441,13747,17218,25500,11478,2283088,1869961,1869961,413127,304.3,94.7,399,286.6,82.2,368.8,243052,19088,1,✅,767.8,7.678,63.9833333333,16241.2086481,False
67,152000 × Falsex0xFalsex0 × 16x16,152000,False,0,16,82.3,125200,3501,13671,21513,28800,13130,2283075,1877835,1877835,405240,305,94,399,286.6,82.5,369.1,239536,19080,1,✅,768.1,7.681,64.0083333333,16299.9609426,False
68,152000 × Falsex0xFalsex0 × 256x256,152000,False,0,256,82,124900,3414,13771,17558,25400,11465,2283175,1873338,1873338,409837,303.1,95.9,399,285,83.8,368.8,245032,19088,1,✅,767.8,7.678,63.9833333333,16267.2570982,False
69,152000 × Truex1xTruex1 × 0x0,152000,True,1,0,91.6,139500,2816,18471,20018,177400,5279,2283732,2092396,2092396,191336,273.3,92.1,365.4,105.8,107.8,213.6,240624,19088,1,✅,579,5.79,48.25,24093.2642487,False
